,Title,date added to alvro,type
,Loading...,,"live,indie,disc"
"3DS1094 - I Love My Little Girl (Europe) (En,Fr,De,Es,It,Nl,Pt,Sv,No,Da,Fi).rar",99.65 MB,2016-01-13 5:01,Rom Secen no rar
"3DS1095 - I Love My Little Boy (Europe) (En,Fr,De,Es,It,Nl,Pt,Sv,No,Da,Fi).rar",99.61 MB,2016-01-13 5:01,Rom Secen no rar
z172 - Illvelo Dillinjah (Japan) (eShop).zip,99.53 MB,2016-05-03 2:05,EShop scene no rar
3DS0432 - My Pet Puppy 3D (Usa).rar,99.12 MB,2016-01-05 23:01,Rom Secen no rar
"3DS0301 - Funky Barn 3D (Europe)(En,Fr,Ge,It.Es).rar",99.09 MB,2016-01-04 21:01,Rom Secen no rar
"3DS1626 - Animal Crossing - New Leaf - Welcome Amiibo (Europe) (En,Fr,De,Es,It).rar",986.69 MB,2017-02-05 5:02,Rom Secen no rar
3DS0123 - Nicktoons MLB 3D (Usa).rar,98.79 MB,2016-01-02 20:01,Rom Secen no rar
z026 - Fairune (Taiwan) (eShop).zip,98.75 MB,2016-03-03 17:03,EShop scene no rar
z115 - Fairune (Taiwan) (eShop).zip,98.75 MB,2016-05-03 2:05,EShop scene no rar
"3DS0269 - Survivor 3D - The Ultimate Adventure (Europe)(En,Fr,It,Es,Nl).rar",98.74 MB,2016-01-04 7:01,Rom Secen no rar
z025 - Brunch Panic (Taiwan) (eShop).zip,98.70 MB,2016-03-03 17:03,EShop scene no rar
z114 - Brunch Panic (Taiwan) (eShop).zip,98.70 MB,2016-05-03 2:05,EShop scene no rar
3DS0427 - Heavy Fire - The Chosen Few 3D (Usa).rar,98.62 MB,2016-01-05 23:01,Rom Secen no rar
"3DS0897 - Best_of Casual Games (Europe ) ( En,Ge,Fr,Sp,Nl,It)).rar",98.62 MB,2016-01-09 14:01,Rom Secen no rar
3DS0484 - 50 Classic Games 3D (Usa).rar,98.54 MB,2016-01-06 1:01,Rom Secen no rar
"3DS0007 - PilotWings Resort (Europe) (En,Fr,Ge,It,Es).rar",98.48 MB,2016-01-01 21:01,Rom Secen no rar
"3DS1268 - Pilotwings Resort (Europe) (En,Fr,De,Es,It) (Rev 1).rar",98.47 MB,2016-01-15 18:01,Rom Secen no rar
"3DS1230 - My Pet School 3D (Europe) (En,Fr,Ge,It,Es).rar",98.33 MB,2016-01-15 16:01,Rom Secen no rar
3DS0901 - Kumamon Bomber Puzzle de Kumamon Taisou (Japan).rar,98.31 MB,2016-01-11 2:01,Rom Secen no rar
0331 - Brunch Panic (Europe) (eShop).zip,97.89 MB,2016-03-03 14:03,EShop scene no rar
3DS1015 - Teenage Mutant Ninja Turtles (USA).rar,97.63 MB,2016-01-12 23:01,Rom Secen no rar
3DS0496 - Barbie Dreamhouse Party (Usa).rar,97.56 MB,2016-01-06 2:01,Rom Secen no rar
"3DS1353 - Thomas and Friends - Steaming around Sodor (Europe) (En,Fr,De,Es,It,Nl).rar",97.51 MB,2016-01-16 20:01,Rom Secen no rar
0555 - Bike Rider DX2 - Galaxy (Europe) (eShop).zip,97.48 MB,2016-03-03 17:03,EShop scene no rar
z174 - AiRace Xeno (Europe) (eShop).zip,97.26 MB,2016-05-03 2:05,EShop scene no rar
0243 - Fairune (Europe) (eShop).zip,97.22 MB,2016-03-03 14:03,EShop scene no rar
3DS0962 - Dog School - Lovely Puppy (Japan).rar,97.19 MB,2016-01-11 3:01,Rom Secen no rar
0369 - Fairune (USA) (eShop).zip,97.18 MB,2016-03-03 15:03,EShop scene no rar
3DS0032 - Pilotwings Resort (Usa).rar,97.16 MB,2016-01-02 0:01,Rom Secen no rar
3DS0909 - Splinter Cell 3D (Japan).rar,969.79 MB,2016-01-11 2:01,Rom Secen no rar
"3DS1450 - Project X Zone 2 (Europe) (En,Fr,De,Es,It).zip",964.51 MB,2016-05-02 11:05,Rom Secen no rar
"3DS1245 - Puzzle and Dragons Z Plus Puzzle and Dragons Super Mario Bros Edition (Europe) (En,Fr,Ge,It,Es).rar",962.98 MB,2016-01-15 17:01,Rom Secen no rar
3DS0156 - Funky Barn 3D (usa).rar,96.72 MB,2016-01-02 22:01,Rom Secen no rar
0237 - Bike Rider DX2 - Galaxy (USA) (eShop).zip,96.72 MB,2016-03-03 14:03,EShop scene no rar
3DS0905 - Madagascar 3 (Japan).rar,96.68 MB,2016-01-11 2:01,Rom Secen no rar
3DS0711 - Pilotwings Resort (Japan).rar,96.37 MB,2016-01-08 22:01,Rom Secen no rar
3DS1391 - Project X Zone 2 - Brave New World (Original Game Sound Edition) (Japan).rar,955.83 MB,2016-01-16 23:01,Rom Secen no rar
3DS0828 - Boku wa Koukuu Kanseikan - Airport Hero 3D - Shin Chitose with JAL(Japan).rar,95.92 MB,2016-01-09 12:01,Rom Secen no rar
0489 - Shizuku Memory (Japan) (eShop).zip,95.92 MB,2016-03-03 16:03,EShop scene no rar
3DS0174 - The Hidden (Usa).rar,95.87 MB,2016-01-02 23:01,Rom Secen no rar
0159 - Tomodachi Life - Move-In Version (USA) (eShop).zip,95.74 MB,2016-03-03 14:03,EShop scene no rar
3DS1467 - Terraria (USA) (Rev 1).zip,95.70 MB,2016-05-02 12:05,Rom Secen no rar
3DS0720 - Nekketsu Kouha Kunio-Kun Special (Japan).rar,95.61 MB,2016-01-08 23:01,Rom Secen no rar
3DS1080 - Duck Dynasty (Usa).rar,95.51 MB,2016-01-13 4:01,Rom Secen no rar
"3DS0314 - Gummy Bears Magical Medallion (Europe)(En,Fr,Ge,It,Es).rar",95.50 MB,2016-01-04 21:01,Rom Secen no rar
"3DS0833 - Funfair Party Games (Germany) (De,Fr).rar",95.48 MB,2016-01-09 12:01,Rom Secen no rar
3DS0128 - Frogger 3D (Usa).rar,95.44 MB,2016-01-02 21:01,Rom Secen no rar
3DS0671 - Frogger 3D (Japan).rar,95.42 MB,2016-01-08 3:01,Rom Secen no rar
3DS0944 - Oshigoto Theme Park 2 (Japan).rar,95.32 MB,2016-01-11 3:01,Rom Secen no rar
3DS0069 - Mahjong Cub3d (Usa).rar,95.04 MB,2016-01-02 2:01,Rom Secen no rar
