Title,Size,date added to alvro,type
,#NAME?,,"live,indie,disc"
0001 - F-Zero for Game Boy Advance (Japan).zip,2.08 MB,2017-02-28 2:02,
0002 - Super Mario Advance - Super Mario USA + Mario Brothers (Japan).zip,2.07 MB,2017-02-28 2:02,
0003 - Battle Network Rockman EXE (Japan).zip,3.30 MB,2017-02-28 2:02,
0004 - Kurukuru Kururin (Japan).zip,1.73 MB,2017-02-28 2:02,
0005 - Mr. Driller 2 (Japan).zip,2.27 MB,2017-02-28 2:02,
"0006 - ChuChu Rocket! (Japan) (En,Ja,Fr,De,Es).zip",2.32 MB,2017-02-28 2:02,
0007 - Akumajou Dracula - Circle of the Moon (Japan).zip,3.78 MB,2017-02-28 2:02,
0008 - Advance GTA (Japan) (En).zip,4.74 MB,2017-02-28 2:02,
0009 - Konami Wai Wai Racing Advance (Japan).zip,1.69 MB,2017-02-28 2:02,
0010 - Bakunetsu Dodge Ball Fighters (Japan).zip,1.12 MB,2017-02-28 2:02,
0011 - Pinobee no Daibouken (Japan).zip,3.10 MB,2017-02-28 2:02,
0012 - Power Pro Kun Pocket 3 (Japan).zip,3.37 MB,2017-02-28 2:02,
0013 - Napoleon (Japan).zip,3.79 MB,2017-02-28 2:02,
0014 - Zen-Nihon GT Senshuken (Japan).zip,2.20 MB,2017-02-28 2:02,
0015 - Fire Pro Wrestling A (Japan).zip,4.23 MB,2017-02-28 2:02,
0016 - Tweety no Hearty Party (Japan).zip,1.36 MB,2017-02-28 2:02,
0017 - JGTO Kounin Golf Master - Japan Golf Tour Game (Japan).zip,5.94 MB,2017-02-28 2:02,
0018 - Winning Post for Game Boy Advance (Japan).zip,1.77 MB,2017-02-28 2:02,
0019 - Play Novel - Silent Hill (Japan).zip,5.56 MB,2017-02-28 2:02,
0020 - Yu-Gi-Oh! - Dungeon Dice Monsters (Japan).zip,6.22 MB,2017-02-28 2:02,
0021 - Boku wa Koukuu Kanseikan (Japan) (Rev 1).zip,4.06 MB,2017-02-28 2:02,
0022 - J.League Pocket (Japan).zip,4.20 MB,2017-02-28 2:02,
0023 - Momotarou Matsuri (Japan) (Rev 1).zip,2.93 MB,2017-02-28 2:02,
0024 - Monster Guardians (Japan).zip,2.91 MB,2017-02-28 2:02,
0025 - Final Fight One (Japan).zip,2.35 MB,2017-02-28 2:02,
0026 - Bomber Man Story (Japan).zip,2.37 MB,2017-02-28 2:02,
"0027 - Iridion 3D (USA, Europe).zip",2.42 MB,2017-02-28 2:02,
"0028 - Pinobee - Wings of Adventure (USA, Europe).zip",3.08 MB,2017-02-28 2:02,
0029 - Ready 2 Rumble Boxing - Round 2 (USA).zip,2.76 MB,2017-02-28 2:02,
0030 - Konami Krazy Racers (USA).zip,1.68 MB,2017-02-28 2:02,
0031 - Castlevania (Europe).zip,3.77 MB,2017-02-28 2:02,
"0032 - Tony Hawk's Pro Skater 2 (USA, Europe).zip",5.47 MB,2017-02-28 2:02,
"0033 - GT Advance - Championship Racing (USA, Europe).zip",4.75 MB,2017-02-28 2:02,
0034 - Namco Museum (USA).zip,1.81 MB,2017-02-28 2:02,
"0035 - ChuChu Rocket! (USA) (En,Ja,Fr,De,Es).zip",2.27 MB,2017-02-28 2:02,
"0036 - Earthworm Jim (USA, Europe).zip",2.37 MB,2017-02-28 2:02,
"0037 - Pitfall - The Mayan Adventure (USA, Europe).zip",1.82 MB,2017-02-28 2:02,
"0038 - Army Men Advance (USA, Europe) (En,Fr,De,Es,It).zip",1.37 MB,2017-02-28 2:02,
0039 - Super Dodge Ball Advance (USA).zip,1.09 MB,2017-02-28 2:02,
"0040 - F-Zero - Maximum Velocity (USA, Europe).zip",2.07 MB,2017-02-28 2:02,
"0041 - Fire Pro Wrestling (USA, Europe).zip",4.21 MB,2017-02-28 2:02,
0042 - Konami Krazy Racers (Europe).zip,1.68 MB,2017-02-28 2:02,
"0043 - Ready 2 Rumble Boxing - Round 2 (Europe) (En,Fr,De).zip",2.78 MB,2017-02-28 2:02,
0044 - Castlevania - Circle of the Moon (USA).zip,3.77 MB,2017-02-28 2:02,
"0045 - Rayman Advance (USA) (En,Fr,De,Es,It).zip",3.54 MB,2017-02-28 2:02,
0046 - Tactics Ogre Gaiden - The Knight of Lodis (Japan).zip,4.29 MB,2017-02-28 2:02,
0047 - Kurukuru Kururin (Europe).zip,1.76 MB,2017-02-28 2:02,
0048 - Top Gear GT Championship (Europe).zip,2.14 MB,2017-02-28 2:02,
"0049 - Super Mario Advance (USA, Europe).zip",2.06 MB,2017-02-28 2:02,
"0050 - Rayman Advance (Europe) (En,Fr,De,Es,It).zip",3.53 MB,2017-02-28 2:02,
0051 - Tweety and the Magic Gems (Europe).zip,1.36 MB,2017-02-28 2:02,
0052 - Tony Hawk's Pro Skater 2 (Germany).zip,5.47 MB,2017-02-28 2:02,
