Title,Size,date added to alvro,type
,Loading...,,"live,indie,disc"
007 - Agent Under Fire (USA) (v1.00).7z,1.03 GB,2017-05-23 11:05,GAMECUBE USA
007 - Agent Under Fire (USA) (v1.01).7z,1.03 GB,2017-05-23 11:05,GAMECUBE USA
007 - Everything or Nothing (USA).7z,870.91 MB,2017-05-23 11:05,GAMECUBE USA
007 - From Russia with Love (USA).7z,1.11 GB,2017-05-23 11:05,GAMECUBE USA
007 - Nightfire (USA).7z,1.13 GB,2017-05-23 11:05,GAMECUBE USA
1080 Avalanche (USA).7z,827.52 MB,2017-05-23 11:05,GAMECUBE USA
18 Wheeler - American Pro Trucker (USA).7z,1.22 GB,2017-05-23 11:05,GAMECUBE USA
4x4 Evo 2 (USA).7z,1.01 GB,2017-05-23 11:05,GAMECUBE USA
ATV - Quad Power Racing 2 (USA).7z,1.24 GB,2017-05-23 11:05,GAMECUBE USA
Aggressive Inline (USA).7z,1.15 GB,2017-05-23 11:05,GAMECUBE USA
Alien Hominid (USA).7z,1.09 GB,2017-05-23 11:05,GAMECUBE USA
All-Star Baseball 2002 (USA).7z,508.43 MB,2017-05-23 11:05,GAMECUBE USA
All-Star Baseball 2003 featuring Derek Jeter (USA).7z,1.01 GB,2017-05-23 11:05,GAMECUBE USA
All-Star Baseball 2004 featuring Derek Jeter (USA).7z,1.14 GB,2017-05-23 11:05,GAMECUBE USA
Amazing Island (USA).7z,1.06 GB,2017-05-23 11:05,GAMECUBE USA
American Chopper 2 - Full Throttle (USA).7z,1.07 GB,2017-05-23 11:05,GAMECUBE USA
Animal Crossing (USA).7z,1.36 GB,2017-05-23 11:05,GAMECUBE USA
Animaniacs - The Great Edgar Hunt (USA).7z,709.09 MB,2017-05-23 11:05,GAMECUBE USA
"Ant Bully, The (USA) (En,Fr).7z",1.17 GB,2017-05-23 11:05,GAMECUBE USA
Aquaman - Battle for Atlantis (USA).7z,1.16 GB,2017-05-23 11:05,GAMECUBE USA
Army Men - Air Combat - The Elite Missions (USA).7z,1.09 GB,2017-05-23 11:05,GAMECUBE USA
Army Men - RTS (USA).7z,1.18 GB,2017-05-23 11:05,GAMECUBE USA
Army Men - Sarge_-_s War (USA).7z,1.01 GB,2017-05-23 11:05,GAMECUBE USA
Auto Modellista (USA).7z,1.18 GB,2017-05-23 11:05,GAMECUBE USA
Avatar - The Last Airbender (USA).7z,1.16 GB,2017-05-23 11:05,GAMECUBE USA
BMX XXX (USA).7z,1.07 GB,2017-05-23 11:05,GAMECUBE USA
Backyard Baseball (USA).7z,1.06 GB,2017-05-23 11:05,GAMECUBE USA
Backyard Football (USA).7z,839.65 MB,2017-05-23 11:05,GAMECUBE USA
Backyard Sports - Baseball 2007 (USA).7z,1.25 GB,2017-05-23 11:05,GAMECUBE USA
Bad Boys - Miami Takedown (USA).7z,952.89 MB,2017-05-23 11:05,GAMECUBE USA
Baldur_-_s Gate - Dark Alliance (USA).7z,718.17 MB,2017-05-23 11:05,GAMECUBE USA
Baten Kaitos - Eternal Wings and the Lost Ocean (USA) (Disc 1).7z,1.27 GB,2017-05-23 11:05,GAMECUBE USA
Baten Kaitos - Eternal Wings and the Lost Ocean (USA) (Disc 2).7z,1.28 GB,2017-05-23 11:05,GAMECUBE USA
Baten Kaitos Origins (USA) (Disc 1).7z,1.27 GB,2017-05-23 11:05,GAMECUBE USA
Baten Kaitos Origins (USA) (Disc 2).7z,1.28 GB,2017-05-23 11:05,GAMECUBE USA
Batman - Dark Tomorrow (USA).7z,1.21 GB,2017-05-23 11:05,GAMECUBE USA
"Batman - Rise of Sin Tzu (USA) (En,Fr,Es).7z",1018.16 MB,2017-05-23 11:05,GAMECUBE USA
"Batman - Vengeance (USA) (En,Fr,Es).7z",1.17 GB,2017-05-23 11:05,GAMECUBE USA
Batman Begins (USA).7z,862.36 MB,2017-05-23 11:05,GAMECUBE USA
Battalion Wars (USA).7z,1.04 GB,2017-05-23 11:05,GAMECUBE USA
Beach Spikers - Virtua Beach Volleyball (USA).7z,1.27 GB,2017-05-23 11:05,GAMECUBE USA
Beyblade VForce - Super Tournament Battle (USA).7z,1.25 GB,2017-05-23 11:05,GAMECUBE USA
"Beyond Good & Evil (USA) (En,Es).7z",1.01 GB,2017-05-23 11:05,GAMECUBE USA
Big Air Freestyle (USA).7z,1.28 GB,2017-05-23 11:05,GAMECUBE USA
Big Mutha Truckers (USA).7z,971.08 MB,2017-05-23 11:05,GAMECUBE USA
Billy Hatcher and the Giant Egg (USA).7z,1.12 GB,2017-05-23 11:05,GAMECUBE USA
Bionicle (USA).7z,1.22 GB,2017-05-23 11:05,GAMECUBE USA
Bionicle Heroes (USA).7z,1.02 GB,2017-05-23 11:05,GAMECUBE USA
Black & Bruised (USA).7z,1.28 GB,2017-05-23 11:05,GAMECUBE USA
Blood Omen 2 - The Legacy of Kain Series (USA).7z,1.04 GB,2017-05-23 11:05,GAMECUBE USA
BloodRayne (USA).7z,904.90 MB,2017-05-23 11:05,GAMECUBE USA
Bloody Roar - Primal Fury (USA).7z,1.24 GB,2017-05-23 11:05,GAMECUBE USA
Blowout (USA).7z,1.25 GB,2017-05-23 11:05,GAMECUBE USA
Bomberman Generation (USA).7z,1018.06 MB,2017-05-23 11:05,GAMECUBE USA
Bomberman Jetters (USA).7z,1.16 GB,2017-05-23 11:05,GAMECUBE USA
Bratz - Forever Diamondz (USA).7z,850.49 MB,2017-05-23 11:05,GAMECUBE USA
Bratz - Rock Angelz (USA).7z,991.77 MB,2017-05-23 11:05,GAMECUBE USA
Buffy the Vampire Slayer - Chaos Bleeds (USA).7z,1012.87 MB,2017-05-23 11:05,GAMECUBE USA
Burnout (USA).7z,481.64 MB,2017-05-23 11:05,GAMECUBE USA
Burnout 2 - Point of Impact (USA).7z,825.14 MB,2017-05-23 11:05,GAMECUBE USA
Bust-A-Move 3000 (USA).7z,1.25 GB,2017-05-23 11:05,GAMECUBE USA
Cabela_-_s Big Game Hunter 2005 Adventures (USA).7z,1.29 GB,2017-05-23 11:05,GAMECUBE USA
Cabela_-_s Dangerous Hunts 2 (USA).7z,985.43 MB,2017-05-23 11:05,GAMECUBE USA
Cabela_-_s Outdoor Adventures (USA).7z,1.20 GB,2017-05-23 11:05,GAMECUBE USA
Call of Duty - Finest Hour (USA).7z,899.68 MB,2017-05-23 11:05,GAMECUBE USA
Call of Duty 2 - Big Red One (USA).7z,918.30 MB,2017-05-23 11:05,GAMECUBE USA
Capcom vs. SNK 2 EO (USA).7z,1.30 GB,2017-05-23 11:05,GAMECUBE USA
"Carmen Sandiego - The Secret of the Stolen Drums (USA) (En,Fr).7z",820.49 MB,2017-05-23 11:05,GAMECUBE USA
Casper - Spirit Dimensions (USA).7z,1.27 GB,2017-05-23 11:05,GAMECUBE USA
Catwoman (USA).7z,1.13 GB,2017-05-23 11:05,GAMECUBE USA
Cel Damage (USA).7z,1.27 GB,2017-05-23 11:05,GAMECUBE USA
Chaos Field (USA).7z,1.25 GB,2017-05-23 11:05,GAMECUBE USA
Charlie and the Chocolate Factory (USA).7z,1.05 GB,2017-05-23 11:05,GAMECUBE USA
"Charlie_-_s Angels (USA) (En,Fr).7z",1.09 GB,2017-05-23 11:05,GAMECUBE USA
Chibi-Robo! Plug into Adventure! (USA).7z,1.25 GB,2017-05-23 11:05,GAMECUBE USA
"Chronicles of Narnia, The - The Lion, the Witch and the Wardrobe (USA).7z",1.06 GB,2017-05-23 11:05,GAMECUBE USA
City Racer (USA).7z,1.12 GB,2017-05-23 11:05,GAMECUBE USA
Codename - Kids Next Door - Operation - V.I.D.E.O.G.A.M.E. (USA).7z,1.06 GB,2017-05-23 11:05,GAMECUBE USA
Conflict - Desert Storm (USA) (v1.00).7z,927.28 MB,2017-05-23 11:05,GAMECUBE USA
