#Breakforcist Battle [010038B0084EA000][v0].nsp,391.89 MB,2019-01-11 11:01,NSW NSP Games
#KILLALLZOMBIES [01004D100C510000][v0].nsp,617.26 MB,2019-01-25 15:01,NSW NSP Games
1-2-Switch [01000320000CC000][v0].nsp,1.38 GB,2019-01-11 11:01,NSW NSP Games
10 Second Run RETURNS [01004D1007926000][v0].nsp,39.18 MB,2019-01-11 11:01,NSW NSP Games
1001 Ultimate Mahjong 2 [010063E00BBDC000][v0].nsp,170.16 MB,2019-01-11 11:01,NSW NSP Games
10秒走 RETURNS.nsp.zip,39.20 MB,2019-01-11 12:01,NSW NSP Games
12 Labours of Hercules eSHOP [010058900D4AE000][v0].nsp,105.33 MB,2019-03-30 14:03,NSW NSP Games
12 orbits [0100A840047C2000][v0].nsp,125.29 MB,2019-01-11 11:01,NSW NSP Games
1917 - The Alien Invasion DX [01005CA0099AA000][v0].nsp,371.05 MB,2019-01-11 11:01,NSW NSP Games
1979 Revolution Black Friday [0100D1000B18C000][v0].nsp,4.04 GB,2019-01-11 11:01,NSW NSP Games
2064 Read Only Memories INTEGRAL [010024C0067C4000][v0].nsp,1.36 GB,2019-01-11 11:01,NSW NSP Games
20XX [0100749009844000][v0].nsp,1.20 GB,2019-01-11 11:01,NSW NSP Games
3 Little Pigs & Bad Wolf [0100B2700E9F4000][v0].nsp,86.67 MB,2019-07-06 20:07,NSW NSP Games
30-in-1 Game Collection Volume 1 [0100023009C72000][v0].nsp,1.36 GB,2019-01-11 11:01,NSW NSP Games
30-in-1 Game Collection Volume 2 [010025400C908000][v0].nsp,1.55 GB,2019-06-23 21:06,NSW NSP Games
30-in-1 Game Collection [010056D00E234000][v0].nsp,1.55 GB,2019-06-01 10:06,NSW NSP Games
36 Fragments of Midnight [01003670066DE000][v0].nsp,51.74 MB,2019-01-11 11:01,NSW NSP Games
36 Fragments of Midnight eSHOP [01000780068C8000][v0].nsp,58.06 MB,2019-04-12 12:04,NSW NSP Games
39 Days to Mars [0100AF400C4CE000][v0].nsp,261.29 MB,2019-05-17 14:05,NSW NSP Games
3D Billiards - Pool & Snooker [010055D00BDD0000][v0].nsp,1.19 GB,2019-01-11 11:01,NSW NSP Games
3D MiniGolf [01006DA00707C000][v0].nsp,1.19 GB,2019-01-11 11:01,NSW NSP Games
60 Seconds! [0100969005E98000][v0].nsp,2.05 GB,2019-01-11 11:01,NSW NSP Games
6180 the moon [0100ECF008474000][v0].nsp,117.75 MB,2019-01-11 11:01,NSW NSP Games
7 Billion Humans [0100DA900B67A000][v0].nsp,178.42 MB,2019-01-11 11:01,NSW NSP Games
8-BIT ADVENTURE STEINS;GATE eSHOP [0100E9F00B882000][v0].nsp,20.91 MB,2019-02-19 14:02,NSW NSP Games
88 Heroes - 98 Heroes Edition [010006A0042F0000][v0].nsp,380.51 MB,2019-01-11 11:01,NSW NSP Games
911 Operator [0100CF10099B2000][v0].nsp,1.68 GB,2019-01-11 11:01,NSW NSP Games
911 Operator [Every Life Matters] [0100CF10099B3001][v0].nsp,119.16 KB,2019-02-05 13:02,NSW NSP Games
911 Operator [Special Resources] [0100CF10099B3002][v0].nsp,119.16 KB,2019-02-05 13:02,NSW NSP Games
99 Vidas.nsp.zip,397.52 MB,2019-01-11 12:01,NSW NSP Games
99Moves eSHOP [0100DE900CB84000][v0].nsp,113.97 MB,2019-02-10 9:02,NSW NSP Games
99Seconds [0100BA800CA6A000][v0].nsp,102.99 MB,2019-01-19 12:01,NSW NSP Games
99Vidas - Definitive Edition [0100B2C00682E000][v0].nsp,397.44 MB,2019-01-11 11:01,NSW NSP Games
A Case of Distrust [0100CDB00BC94000][v0].nsp,1.23 GB,2019-01-11 11:01,NSW NSP Games
A Ch'ti Bundle [010096A00CC80000][v0].nsp,3.08 GB,2019-01-21 9:01,NSW NSP Games
A Dark Room [010021D00D53E000][v0] eSHOP .nsp,166.03 MB,2019-04-14 14:04,NSW NSP Games
A Dark Room[010021D00D53E000][US][v65536] (1G 1U).xci,197.02 MB,2019-08-22 13:08,NSW NSP Games
A Duel Hand Disaster Trackher [010026B006802000][v0].nsp,1.24 GB,2019-06-13 23:06,NSW NSP Games
A Gummy's Life [0100ABC009708000][v0].nsp.zip,619.94 MB,2019-01-11 12:01,NSW NSP Games
A Hole New World [01000060085D2000][v0].nsp,854.35 MB,2019-01-11 11:01,NSW NSP Games
A Magical High School Girl [01008DD006C52000][v0].nsp,185.71 MB,2019-01-11 11:01,NSW NSP Games
A Normal Lost Phone [0100978009B98000][v0].nsp,121.35 MB,2019-01-11 11:01,NSW NSP Games
A Robot Named Fight [0100EB600A4DA000][v0].nsp,598.71 MB,2019-01-11 11:01,NSW NSP Games
ABZÛ [0100C1300BBC6000][v0].nsp,1.34 GB,2019-01-11 11:01,NSW NSP Games
ACA NEO GEO CROSSED SWORDS.nsp.zip,76.84 MB,2019-01-11 12:01,NSW NSP Games
ACA NEOGEO 2020 SUPER BASEBALL [01003C400871E000][v0].nsp,95.41 MB,2019-01-11 11:01,NSW NSP Games
ACA NEOGEO 3 COUNT BOUT [0100FC000AFC6000][v0].nsp,104.61 MB,2019-01-11 11:01,NSW NSP Games
ACA NEOGEO AERO FIGHTERS 2 [0100AC40038F4000][v0].nsp,78.65 MB,2019-01-11 11:01,NSW NSP Games
ACA NEOGEO AERO FIGHTERS 3 [0100B91008780000][v0].nsp,93.22 MB,2019-01-11 11:01,NSW NSP Games
ACA NEOGEO AGGRESSORS OF DARK KOMBAT [0100B4800AFBA000][v0].nsp,95.16 MB,2019-01-11 11:01,NSW NSP Games
ACA NEOGEO ALPHA MISSION II [0100A76002B46000][v0].nsp,74.62 MB,2019-01-11 11:01,NSW NSP Games
ACA NEOGEO ART OF FIGHTING 2 [010066600877E000][v0].nsp,94.12 MB,2019-01-11 11:01,NSW NSP Games
ACA NEOGEO ART OF FIGHTING 3 [01004AC002B40000][v0].nsp,145.21 MB,2019-01-11 11:01,NSW NSP Games
ACA NEOGEO ART OF FIGHTING [01006A80038FC000][v0].nsp,87.28 MB,2019-01-11 11:01,NSW NSP Games
ACA NEOGEO BASEBALL STARS 2 eSHOP [0100B0B00A8C2000][v0].nsp,96.61 MB,2019-03-30 14:03,NSW NSP Games
ACA NEOGEO BASEBALL STARS PROFESSIONAL [01003FE00A2F6000][v0].nsp,94.07 MB,2019-01-11 11:01,NSW NSP Games
ACA NEOGEO BLAZING STAR [0100DFC003398000][v0].nsp,95.08 MB,2019-01-11 11:01,NSW NSP Games
ACA NEOGEO BURNING FIGHT [01002AA004DB4000][v0].nsp,75.48 MB,2019-01-11 11:01,NSW NSP Games
ACA NEOGEO CROSSED SWORDS [0100D2400AFB0000][v0].nsp,76.10 MB,2019-01-11 11:01,NSW NSP Games
ACA NEOGEO CYBER-LIP [010082200AFBE000][v0].nsp,82.16 MB,2019-01-11 11:01,NSW NSP Games
ACA NEOGEO FATAL FURY 2 [0100CAF001DBE000][v0].nsp,84.24 MB,2019-01-11 11:01,NSW NSP Games
ACA NEOGEO FATAL FURY 3 [01000D1008714000][v0].nsp,100.07 MB,2019-01-11 11:01,NSW NSP Games
ACA NEOGEO FATAL FURY SPECIAL [010019A0038FA000][v0].nsp,92.86 MB,2019-01-11 11:01,NSW NSP Games
ACA NEOGEO FATAL FURY [0100EE6002B48000][v0].nsp,78.87 MB,2019-01-11 11:01,NSW NSP Games
ACA NEOGEO FOOTBALL FRENZY [0100EEA00AFB2000][v0].nsp,105.86 MB,2019-01-11 11:01,NSW NSP Games
ACA NEOGEO GALAXY FIGHT UNIVERSAL WARRIORS [01002580038DE000][v0].nsp,84.14 MB,2019-01-11 11:01,NSW NSP Games
ACA NEOGEO GAROU MARK OF THE WOLVES [0100CB2001DB8000][v0].nsp,133.15 MB,2019-01-11 11:01,NSW NSP Games
ACA NEOGEO GHOST PILOTS [01005D700A2F8000][v0].nsp,80.80 MB,2019-01-11 11:01,NSW NSP Games
ACA NEOGEO Gururin [0100CE400A2FA000][v0].nsp,90.28 MB,2019-01-11 11:01,NSW NSP Games
ACA NEOGEO KING OF THE MONSTERS 2 [010029D00AFD0000][v0].nsp,98.32 MB,2019-01-11 11:01,NSW NSP Games
ACA NEOGEO KING OF THE MONSTERS [0100B1300871A000][v0].nsp,78.81 MB,2019-01-11 11:01,NSW NSP Games
ACA NEOGEO KIZUNA ENCOUNTER [0100A2200AFE2000][v0].nsp,98.39 MB,2019-01-25 15:01,NSW NSP Games
ACA NEOGEO LAST RESORT [01000D10038E6000][v0].nsp,83.72 MB,2019-01-11 11:01,NSW NSP Games
ACA NEOGEO LEAGUE BOWLING [0100A2900AFA4000][v0].nsp,82.77 MB,2019-01-11 11:01,NSW NSP Games
ACA NEOGEO MAGICAL DROP II [0100A050038F2000][v0].nsp,85.24 MB,2019-01-11 11:01,NSW NSP Games
ACA NEOGEO MAGICAL DROP III [01008ED008776000][v0].nsp,101.54 MB,2019-01-11 11:01,NSW NSP Games
ACA NEOGEO MAGICIAN LORD [01007920038F6000][v0].nsp,85.77 MB,2019-01-11 11:01,NSW NSP Games
ACA NEOGEO METAL SLUG 2 [010086300486E000][v0].nsp,92.90 MB,2019-01-11 11:01,NSW NSP Games
ACA NEOGEO METAL SLUG 3 [0100BA8001DC6000][v0].nsp,159.96 MB,2019-01-11 11:01,NSW NSP Games
ACA NEOGEO METAL SLUG 4 [01009CE00AFAE000][v0].nsp,112.74 MB,2019-01-11 11:01,NSW NSP Games
ACA NEOGEO METAL SLUG 5 [01004C000AFDC000][v0].nsp,103.85 MB,2019-01-11 11:01,NSW NSP Games
ACA NEOGEO METAL SLUG X [01008FD004DB6000][v0].nsp,107.17 MB,2019-01-11 11:01,NSW NSP Games
ACA NEOGEO METAL SLUG [0100EBE002B3E000][v0].nsp,85.73 MB,2019-01-11 11:01,NSW NSP Games
