Title,Size,date added to alvro,type
,#NAME?,,"live,indie,disc"
# Misc Games without Title.rar,185.07 MB,2014-12-27 14:12,XBLIG
0 Day Attack on Earth.rar,662.88 MB,2014-12-17 12:12,XBLA
0 Gravity Y3030.rar,94.53 MB,2014-12-27 14:12,XBLIG
007 Legends [RF].rar,8.38 GB,2015-03-05 12:03,x360 ISO
0D Beat Drop.rar,100.90 MB,2014-12-17 12:12,XBLA
10 Amazingly Awful Games Vol 2.rar,50.46 MB,2014-12-27 15:12,XBLIG
10 Amazingly Awful Games.rar,27.25 MB,2014-12-27 15:12,XBLIG
10 Frame Bowling.rar,297.74 MB,2014-12-17 12:12,XBLA
10 Seconds or Less.rar,49.53 MB,2014-12-27 15:12,XBLIG
11 Eyes CrossOver [NTSCJ].iso,7.30 GB,2016-04-02 16:04,x360 ISO
1337 Ship Deathmatch.rar,39.52 MB,2014-12-27 15:12,XBLIG
15 Puzzle.rar,37.96 MB,2014-12-27 15:12,XBLIG
1942 Joint Strike.rar,154.31 MB,2014-12-17 12:12,XBLA
1on1 Basketball.rar,43.90 MB,2014-12-27 14:12,XBLIG
1on1 Soccer.rar,4.78 MB,2014-12-27 14:12,XBLIG
2 JAWSOME.rar,47.89 MB,2014-12-27 14:12,XBLIG
20 Games.rar,41.66 MB,2014-12-27 15:12,XBLIG
2006 FIFA World Cup [PAL].iso,7.30 GB,2015-07-12 3:07,x360 ISO
2010 A New Threat.rar,40.82 MB,2014-12-27 15:12,XBLIG
2010 FIFA World Cup South Africa [NTSCJ].iso,7.30 GB,2018-01-21 22:01,x360 ISO
2010 FIFA World Cup South Africa [NTSCU].iso,7.30 GB,2015-07-12 4:07,x360 ISO
"2010 FIFA World Cup South Africa [PAL][ENG,SPA,NL].iso",7.30 GB,2015-07-12 5:07,x360 ISO
"2010 FIFA World Cup South Africa [PAL][GER,FR,ITA].iso",7.30 GB,2018-01-21 22:01,x360 ISO
2012 Athletics Tournament.rar,14.63 MB,2014-12-27 15:12,XBLIG
2012.rar,326.70 MB,2014-12-27 15:12,XBLIG
2014 FIFA World Cup Brasil [NTSCU].iso,8.14 GB,2015-07-12 5:07,x360 ISO
2014 FIFA World Cup Brasil [PAL].iso,8.14 GB,2015-07-12 6:07,x360 ISO
"2014 FIFA World Cup Brasil [RF][ENG,GER,ITA].iso",8.14 GB,2015-07-12 7:07,x360 ISO
2014 FIFA World Cup Brazil [NTSCJ].iso,8.14 GB,2018-01-21 22:01,x360 ISO
2060 Cyber Racer.rar,52.69 MB,2014-12-27 15:12,XBLIG
21 Ball Snooker Champion.rar,50.92 MB,2014-12-27 15:12,XBLIG
21 Ball Snooker LIVE.rar,78.58 MB,2014-12-27 15:12,XBLIG
2176 Supernova Storm.rar,25.60 MB,2014-12-27 15:12,XBLIG
27 Ball Funky Pool.rar,50.51 MB,2014-12-27 15:12,XBLIG
2D House of Terror.rar,79.66 MB,2014-12-27 14:12,XBLIG
2D Math Panic.rar,32.16 MB,2014-12-27 14:12,XBLIG
2D Voxel Madness.rar,20.31 MB,2014-12-27 14:12,XBLIG
2K Sports Major League Baseball 2K8 [NTSCJ].iso,7.30 GB,2018-01-22 11:01,x360 ISO
2win Ghost.rar,18.74 MB,2014-12-27 14:12,XBLIG
3 in 1 - game compilation.rar,2.74 MB,2014-12-27 14:12,XBLIG
3 on 3 NHL Arcade.rar,186.09 MB,2014-12-17 12:12,XBLA
3 Point Contest.rar,166 MB,2014-12-17 12:12,XBLA
360 Lines.rar,24.97 MB,2014-12-27 15:12,XBLIG
360 Mega App Pack HD.rar,22.06 MB,2014-12-27 15:12,XBLIG
360 Mega Pack HD Remix.rar,50.90 MB,2014-12-27 15:12,XBLIG
360 Video Poker.rar,1.87 MB,2014-12-27 15:12,XBLIG
37 Days to Die.rar,90.95 MB,2014-12-27 15:12,XBLIG
3D Infinity.rar,29.26 MB,2014-12-27 14:12,XBLIG
3D Pixel Art Studio.rar,42.15 MB,2014-12-27 14:12,XBLIG
3D Stereo Studio.rar,41.74 MB,2014-12-27 14:12,XBLIG
3D Ultra Mini Golf 2.rar,144.35 MB,2014-12-17 12:12,XBLA
3D Ultra Mini Golf.rar,69.11 MB,2014-12-17 12:12,XBLA
3D-struction.rar,19.83 MB,2014-12-27 15:12,XBLIG
4-in-1 Cardgame Collection.rar,22.30 MB,2014-12-27 15:12,XBLIG
4-tet Music Maker.rar,4.14 MB,2014-12-27 15:12,XBLIG
48 Chambers.rar,15.29 MB,2014-12-27 15:12,XBLIG
4P Ping-Pong.rar,1.41 MB,2014-12-27 15:12,XBLIG
4目並べ3D.rar,13.56 MB,2014-12-27 15:12,XBLIG
50 Cent Blood on the Sand [NTSCJ].iso,7.30 GB,2018-01-22 11:01,x360 ISO
50 cent Blood On The Sand [RF].iso,7.30 GB,2015-07-12 3:07,x360 ISO
5th Grader.rar,100.15 MB,2014-12-17 12:12,XBLA
60 Seconds to Park.rar,8.18 MB,2014-12-27 15:12,XBLIG
7 gunfighters.rar,46.13 MB,2014-12-27 15:12,XBLIG
7strains The Infectious.rar,17.76 MB,2014-12-27 15:12,XBLIG
