A Way Out,17.44 GB,17.44
Aaero,2.09 GB,2.09
Agents of Mayhem,45.4 GB,45.4
Alteric,0.265 GB,0.265
AO Tennis,4.57 GB,4.57
Ark: Survival Evolved,52.03 GB,52.03
Ashes Cricket,13.07 GB,13.07
Assassin's Creed,7.1 GB,7.1
Assassin's Creed OriginsDolby****Atmos,42.8 GB,42.8
Assassin’s Creed Rogue Remastered,9.92 GB,9.92
Assault Android Cactus,1.5 GB,1.5
Astroneer,1.4 GB,1.4
Attack on Titan 2,30 GB,30
Battle Chasers: Nightwar,9.91 GB,9.91
Battlezone,3.52 GB,3.52
Burnout Paradise Remastered,7.66 GB,7.66
Call of Duty Infinite Warfare,63.4 GB,63.4
Call of Duty WW II,54.1 GB,54.1
Casey Powell Lacrosse 18,7.07 GB,7.07
Chess Ultra,4.28 GB,4.28
Cities: Skylines,3.63 GB,3.63
City of Brass,3.61 GB,3.61
Claybook,2.36 GB,2.36
Conan Exile,28.5 GB,28.5
Crackdown,18.57 GB,18.57
Crossout,4.2 GB,4.2
Danger Zone,3 GB,3
DARK SOULS™: REMASTERED,7.13 GB,7.13
Dead Rising 4,59.6 GB,59.6
Deep Ones,0.35 GB,0.35
Deep Rock Galactic (Game Preview),1.1 GB,1.1
Destiny 2,42.4 GB,42.4
Diablo The Ultimate Evil Edt,27.5 GB,27.5
Dishonored 2,54 GB,54
Dishonored: Death of the Outsider,29.8 GB,29.8
Disneyland Adventures,16.8 GB,16.8
Doom,61.21 GB,61.21
Dragonball Fighter Z,5.02 GB,5.02
Dragonball Fighter Z Open Beta,3.1 GB,3.1
Dynasty Warriors 9,43.96 GB,43.96
Elex,30.2 GB,30.2
Elite Dangerous,15.4 GB,15.4
Enigmatis 3: The Shadow of Karkhala,1.94 GB,1.94
Euro Fishing,6.26 GB,6.26
EverSpace,8.8 GB,8.8
F1 2017,34.8 GB,34.8
Fable Anniversary,10 GB,10
Fallout 3,6.1 GB,6.1
Fallout 4,47.2 GB,47.2
Far Cry 5,37.75 GB,37.75
Farming Simulator 17,6.34 GB,6.34
Fe,2.38 GB,2.38
FIFA 18,44.8 GB,44.8
Final Fantasy 15Dolby****Atmos,77.4 GB,77.4
For HonorDolby****Atmos,48.4 GB,48.4
Fortnite,17 GB,17
Forza Horizon,62.92 GB,62.92
Forza Horizon 3,51.4 GB,51.4
Forza Motorsport 7,95.05 GB,95.05
Forza Motorsport 7 Demo,24.1 GB,24.1
Gears of War 2,6.93 GB,6.93
Gears of War 3,8 GB,8
Gears of War 4Dolby****Atmos,103.3 GB,103.3
Gorogoa,2.59 GB,2.59
Gravel,15.34 GB,15.34
GRIDD: retroenhanced,0.263 GB,0.263
Grim Legends 3: The Dark City,1.79 GB,1.79
Halo 3,10.4 GB,10.4
Halo 5,97.2 GB,97.2
Halo Wars 2,43.7 GB,43.7
Hand of Fate 2,2.68 GB,2.68
Hellblade: Senua’s Sacrifice,15.39 GB,15.39
Hello Neighbor,2.15 GB,2.15
Hitman,17.9 GB,17.9
Homefront: The Revolution,45.6 GB,45.6
Hyper Sentinel,0.625 GB,0.625
Injustice 2,31.3 GB,31.3
Insects: An Xbox One X Enhanced ExperienceDolby****Atmos,1.76 GB,1.76
Jurassic World Evolution,6.14 GB,6.14
Killer Instinct,47.1 GB,47.1
Killing Floor 2,14.9 GB,14.9
Kingdom Come: Deliverance,27.04 GB,27.04
L.A. Noire,17 GB,17
Lego Marvel Superheroes 2,23.6 GB,23.6
Life is Strange: Before the Storm,18.13 GB,18.13
Madden 18,43 GB,43
Mafia III,50.2 GB,50.2
Mantis Burn Racing,5.9 GB,5.9
Marble Void,0.905 GB,0.905
Marvel v Capcom Infinite,63 GB,63
Masters of Anima,1.68 GB,1.68
Metal Gear Survive,19.27 GB,19.27
Metal Gear Survive Beta,8 GB,8
Middle-earth: Shadow of War,44.6 GB,44.6
Mining Rail,0.887 GB,0.887
Mirror's Edge,6.1 GB,6.1
Monster Energy Supercross: The Official Videogame,13.88 GB,13.88
Monster Hunter World,13.63 GB,13.63
Morphite,0.879 GB,0.879
MotoGP™18,15.43 GB,15.43
MX vs ATV All Out,17.29 GB,17.29
NBA 2K18,50.24 GB,50.24
NBA Live 18,33.2 GB,33.2
Need For Speed Payback,20.2 GB,20.2
NHL 18,26.3 GB,26.3
Nightmares from the Deep 3: Davy Jones,2.22 GB,2.22
Nine Parchments,3.17 GB,3.17
North,1.39 GB,1.39
OKAMI HD,16.98 GB,16.98
One Eye Kutkh,0.605 GB,0.605
ONRUSH,25.65 GB,25.65
Outbreak: The Nightmare Chronicles,4.21 GB,4.21
Outlast 2,18.8 GB,18.8
Overwatch,21 GB,21
Paladins,8.8 GB,8.8
Path of Exile,9.2 GB,9.2
PixARK,6.26 GB,6.26
PLAYERUNKNOWN'S BATTLEGROUNDS,5.24 GB,5.24
Portal Knights,5.6 GB,5.6
Prey,36.4 GB,36.4
Pro Evolution Soccer 2018,24.47 GB,24.47
Project Cars 2,44.3 GB,44.3
Project Cars 2 Demo,4.3 GB,4.3
Q.U.B.E. 2,2.85 GB,2.85
Quantum Break,178.1 GB,178.1
Raiders of the Broken Planet,17 GB,17
Railway Empire,6.03 GB,6.03
Rainbow Six Siege,44.34 GB,44.34
Real Farm,1.99 GB,1.99
ReCore,8.76 GB,8.76
Red Dead Redemption,7.3 GB,7.3
Redout: Lightspeed Edition,4.04 GB,4.04
Resident Evil 7,21.34 GB,21.34
Rise of the Tomb RaiderDolby****Atmos,51.3 GB,51.3
